RBCRWAJ,ROA,REPDTE,ASSET,CERT,NETINC,LNLSNET,DEP,NPERFV,ID,FAILED
16.508764014904674,0.7764621558562762,19950930,13081,25056,78,9258,11097,11.268251662716917,25056_19950930,1
16.447476036248244,0.8067978268271379,19951231,13976,25056,109,9363,11536,10.611047510017173,25056_19951231,1
16.478152561772035,-0.6117321487091723,19960331,13487,25056,-21,8762,11570,13.731741677170609,25056_19960331,1
16.622442865702304,-0.3241650294695481,19960630,13257,25056,-22,9138,10806,9.172512634834428,25056_19960630,1
0.0,1.2620709436848647,19840331,10236,10985,33,7197,9155,2.842907385697538,10985_19840331,1
0.0,0.7236257458423258,19840630,10590,10985,38,7523,9612,3.068932955618508,10985_19840630,1
0.0,1.1459663363972783,19840930,10377,10985,90,7652,9382,3.469210754553339,10985_19840930,1
0.0,1.0495064483188987,19841231,10997,10985,111,7573,9987,2.6461762298808766,10985_19841231,1
0.0,0.6296296296296297,19850331,10603,10985,17,7508,9602,3.451853249080449,10985_19850331,1
0.0,0.5900611573803743,19850630,10939,10985,32,7887,9925,3.44638449584057,10985_19850630,1
0.0,0.8262498860840245,19850930,11353,10985,68,8075,10333,3.8844358319386942,10985_19850930,1
0.0,0.8399456715991136,19851231,12064,10985,94,8083,11031,2.5364721485411144,10985_19851231,1
0.0,0.6340995369404697,19860331,11907,10985,19,8004,10887,3.0234315948601664,10985_19860331,1
0.0,0.4939355688491301,19860630,12471,10985,30,7941,11453,2.2933205035682787,10985_19860630,1
0.0,0.5377094650205761,19860930,12158,10985,49,7953,11128,3.158414212863958,10985_19860930,1
0.0,-0.21328258301614383,19861231,12352,10985,-26,7752,11493,2.8821243523316062,10985_19861231,1
0.0,0.6287487073422957,19870331,11823,10985,19,7644,10882,2.901124925991711,10985_19870331,1
0.0,1.114499584141946,19870630,11895,10985,67,7916,10879,3.9007986548970157,10985_19870630,1
0.0,0.7551472368718064,19870930,12661,10985,69,7608,11714,3.167206381802385,10985_19870930,1
0.0,0.7255355920044347,19871231,12603,10985,89,7889,11629,2.3645163849877013,10985_19871231,1
0.0,0.8040847505327062,19880331,12270,10985,25,8502,11279,3.4555827220863895,10985_19880331,1
0.0,0.5771080474511061,19880630,12555,10985,36,8893,11521,1.8797291915571483,10985_19880630,1
0.0,0.9588828735241824,19880930,12629,10985,90,8666,11593,1.5440652466545253,10985_19880930,1
0.0,0.9169670524252198,19881231,13195,10985,116,8998,12118,0.757862826828344,10985_19881231,1
0.0,0.885766646304215,19890331,12997,10985,29,9249,11907,0.5385858274986536,10985_19890331,1
0.0,0.8685837668073413,19890630,14564,10985,59,9767,13405,0.9406756385608349,10985_19890630,1
0.0,0.9328768785920822,19890930,15270,10985,98,10929,14061,0.15717092337917485,10985_19890930,1
0.0,0.8818220648414787,19891231,16551,10985,128,12028,15238,0.4531448250860975,10985_19891231,1
8.14478369361034,0.6107946203089212,19900331,17503,10985,26,12569,16191,0.7255898988744787,10985_19900331,1
8.839226150767178,0.7742830177776923,19900630,17865,10985,67,13390,16534,1.0019591379792891,10985_19900630,1
8.994607498348147,0.8291197919611057,19900930,18837,10985,110,14325,17533,1.2793969315708447,10985_19900930,1
9.21411790268479,1.0221995066776293,19901231,19246,10985,184,14257,17855,0.9716304686688142,10985_19901231,1
9.569412134100219,-0.041600582408153716,19910331,19215,10985,-2,13670,17858,1.2802498048399689,10985_19910331,1
9.069162219710313,0.12320117725569378,19910630,19980,10985,12,14882,18646,0.6756756756756757,10985_19910630,1
